arxiv id,title,published,author(s),abs link,pdf link,journal ref,comment,abstract
1606.07779v1,Natural calcium carbonate for biomedical applications,2016-06-23T13:01:43Z,Sonali S. Sali,http://arxiv.org/abs/1606.07779v1,http://arxiv.org/pdf/1606.07779v1,No journal ref found,M.Tech (Biotechnology) Dissertation Thesis project,"Sea shells are found to be a very rich natural resource for calcium
carbonate. Sea shells are made up of CaCO3 mainly in the aragonite form, which
are columnar or fibrous or microsphere structured crystals. The bioactivity of
nanoparticles of sea shell has been studied in this work. The sea shells
collected were thoroughly washed, dried and pulverized. The powder was sieved
and particles in the range of 45 to 63 microns were collected. The powdered sea
shells were characterized using X-Ray Diffraction and Field Emission Scanning
Electron Microscopy. The XRD data showed that the particles were mainly
microspheres. Traces of calcite and vaterite were also present. Experiments
were conducted to study the aspirin and strontium ranelate drug loading into
the sea shell powder using soak and dry method. Different concentrations of
drug solution was made in ethanol and water. The shell powder was soaked in
drug solutions and was kept soaking for 48 hrs with intermittent
ultrasonication. The mixture was gently dried in a vacuum oven. The in vitro
drug release studies were done using Phosphate Buffered Saline. The FESEM
images displayed a distribution of differently sized and shaped particles. The
sea shells due to its natural porosity and crystallinity are expected to be
useful for drug delivery. About 50% drug entrapment efficiency for aspirin and
39% for strontium ranelate was seen. A burst release of the drug (80 percent)
was observed within two hours for both the drugs studied. Rest of the drug was
released slowly in 19 hrs. Further modification of the sea shell with non toxic
polymers is also planned as a part of this work. Sea shell powder has become a
potential candidate for drug delivery due to all the aforementioned advantages."
2208.06361v1,Hyperbolic Molecular Representation Learning for Drug Repositioning,2022-07-06T20:20:29Z,"Ke Yu, Shyam Visweswaran, Kayhan Batmanghelich",http://arxiv.org/abs/2208.06361v1,http://arxiv.org/pdf/2208.06361v1,No journal ref found,"Accepted by NeurIPS workshop 2020. arXiv admin note: substantial text
  overlap with arXiv:2006.00986","Learning accurate drug representations is essential for task such as
computational drug repositioning. A drug hierarchy is a valuable source that
encodes knowledge of relations among drugs in a tree-like structure where drugs
that act on the same organs, treat the same disease, or bind to the same
biological target are grouped together. However, its utility in learning drug
representations has not yet been explored, and currently described drug
representations cannot place novel molecules in a drug hierarchy. Here, we
develop a semi-supervised drug embedding that incorporates two sources of
information: (1) underlying chemical grammar that is inferred from chemical
structures of drugs and drug-like molecules (unsupervised), and (2)
hierarchical relations that are encoded in an expert-crafted hierarchy of
approved drugs (supervised). We use the Variational Auto-Encoder (VAE)
framework to encode the chemical structures of molecules and use the drug-drug
similarity information obtained from the hierarchy to induce the clustering of
drugs in hyperbolic space. The hyperbolic space is amenable for encoding
hierarchical relations. Our qualitative results support that the learned drug
embedding can induce the hierarchical relations among drugs. We demonstrate
that the learned drug embedding can be used for drug repositioning."
2409.11712v1,"Revolutionizing Pharmaceutical Manufacturing: Advances and Challenges of
  3D Printing System and Control",2024-09-18T05:35:58Z,"Rahul Kumar, Vikram Singh, Priya Gupta",http://arxiv.org/abs/2409.11712v1,http://arxiv.org/pdf/2409.11712v1,No journal ref found,submitted to IMECE 2024,"The advent of 3D printing has transformed the pharmaceutical industry,
enabling precision drug manufacturing with controlled release profiles, dosing,
and structural complexity. Additive manufacturing (AM) addresses the growing
demand for personalized medicine, overcoming limitations of traditional
methods. This technology facilitates tailored dosage forms, complex geometries,
and real-time quality control. Recent advancements in drop-on-demand printing,
UV curable inks, material science, and regulatory frameworks are discussed.
Despite opportunities for cost reduction, flexibility, and decentralized
manufacturing, challenges persist in scalability, reproducibility, and
regulatory adaptation. This review provides an in-depth analysis of the current
state of AM in pharmaceutical manufacturing, exploring recent developments,
challenges, and future directions for mainstream integration."
2006.00986v1,Semi-Supervised Hierarchical Drug Embedding in Hyperbolic Space,2020-06-01T14:46:31Z,"Ke Yu, Shyam Visweswaran, Kayhan Batmanghelich",http://arxiv.org/abs/2006.00986v1,http://arxiv.org/pdf/2006.00986v1,No journal ref found,No comment found,"Learning accurate drug representation is essential for tasks such as
computational drug repositioning and prediction of drug side-effects. A drug
hierarchy is a valuable source that encodes human knowledge of drug relations
in a tree-like structure where drugs that act on the same organs, treat the
same disease, or bind to the same biological target are grouped together.
However, its utility in learning drug representations has not yet been
explored, and currently described drug representations cannot place novel
molecules in a drug hierarchy. Here, we develop a semi-supervised drug
embedding that incorporates two sources of information: (1) underlying chemical
grammar that is inferred from molecular structures of drugs and drug-like
molecules (unsupervised), and (2) hierarchical relations that are encoded in an
expert-crafted hierarchy of approved drugs (supervised). We use the Variational
Auto-Encoder (VAE) framework to encode the chemical structures of molecules and
use the knowledge-based drug-drug similarity to induce the clustering of drugs
in hyperbolic space. The hyperbolic space is amenable for encoding hierarchical
concepts. Both quantitative and qualitative results support that the learned
drug embedding can accurately reproduce the chemical structure and induce the
hierarchical relations among drugs. Furthermore, our approach can infer the
pharmacological properties of novel molecules by retrieving similar drugs from
the embedding space. We demonstrate that the learned drug embedding can be used
to find new uses for existing drugs and to discover side-effects. We show that
it significantly outperforms baselines in both tasks."
1801.07691v2,Drug Selection via Joint Push and Learning to Rank,2018-01-23T18:26:54Z,"Yicheng He, Junfeng Liu, Xia Ning",http://arxiv.org/abs/1801.07691v2,http://arxiv.org/pdf/1801.07691v2,"IEEE/ACM Transactions on Computational Biology and Bioinformatics
  ( Volume: 17, Issue: 1, 01 Jan.-Feb. 2020)",No comment found,"Selecting the right drugs for the right patients is a primary goal of
precision medicine. In this manuscript, we consider the problem of cancer drug
selection in a learning-to-rank framework. We have formulated the cancer drug
selection problem as to accurately predicting 1). the ranking positions of
sensitive drugs and 2). the ranking orders among sensitive drugs in cancer cell
lines based on their responses to cancer drugs. We have developed a new
learning-to-rank method, denoted as pLETORg , that predicts drug ranking
structures in each cell line via using drug latent vectors and cell line latent
vectors. The pLETORg method learns such latent vectors through explicitly
enforcing that, in the drug ranking list of each cell line, the sensitive drugs
are pushed above insensitive drugs, and meanwhile the ranking orders among
sensitive drugs are correct. Genomics information on cell lines is leveraged in
learning the latent vectors. Our experimental results on a benchmark cell
line-drug response dataset demonstrate that the new pLETORg significantly
outperforms the state-of-the-art method in prioritizing new sensitive drugs."
2007.07886v2,"Clinical connectivity map for drug repurposing: using laboratory tests
  to bridge drugs and diseases",2020-07-14T21:08:43Z,"Qianlong Wen, Ruoqi Liu, Ping Zhang",http://arxiv.org/abs/2007.07886v2,http://arxiv.org/pdf/2007.07886v2,No journal ref found,No comment found,"Drug repurposing has attracted increasing attention from both the
pharmaceutical industry and the research community. Many existing computational
drug repurposing methods rely on preclinical data (e.g., chemical structures,
drug targets), resulting in translational problems for clinical trials. In this
study, we propose a clinical connectivity map framework for drug repurposing by
leveraging laboratory tests to analyze complementarity between drugs and
diseases. We establish clinical drug effect vectors (i.e., drug-laboratory test
associations) by applying a continuous self-controlled case series model on a
longitudinal electronic health record data. We establish clinical disease sign
vectors (i.e., disease-laboratory test associations) by applying a Wilcoxon
rank sum test on a large-scale national survey data. Finally, we compute a
repurposing possibility score for each drug-disease pair by applying a dot
product-based scoring function on clinical disease sign vectors and clinical
drug effect vectors. We comprehensively evaluate 392 drugs for 6 important
chronic diseases (e.g., asthma, coronary heart disease, type 2 diabetes, etc.).
We discover not only known associations between diseases and drugs but also
many hidden drug-disease associations. Moreover, we are able to explain the
predicted drug-disease associations via the corresponding complementarity
between laboratory tests of drug effect vectors and disease sign vectors. The
proposed clinical connectivity map framework uses laboratory tests from
electronic clinical information to bridge drugs and diseases, which is
explainable and has better translational power than existing computational
methods. Experimental results demonstrate the effectiveness of the proposed
framework and suggest that our method could help identify drug repurposing
opportunities, which will benefit patients by offering more effective and safer
treatments."
1912.03702v1,"Graph-augmented Convolutional Networks on Drug-Drug Interactions
  Prediction",2019-12-08T15:43:42Z,"Yi Zhong, Xueyu Chen, Yu Zhao, Xiaoming Chen, Tingfang Gao, Zuquan Weng",http://arxiv.org/abs/1912.03702v1,http://arxiv.org/pdf/1912.03702v1,No journal ref found,No comment found,"We propose an end-to-end model to predict drug-drug interactions (DDIs) by
employing graph-augmented convolutional networks. And this is implemented by
combining graph CNN with an attentive pooling network to extract structural
relations between drug pairs and make DDI predictions. The experiment results
suggest a desirable performance achieving ROC at 0.988, F1-score at 0.956, and
AUPR at 0.986. Besides, the model can tell how the two DDI drugs interact
structurally by varying colored atoms. And this may be helpful for drug design
during drug discovery."
2404.03516v1,"Drug-target interaction prediction by integrating heterogeneous
  information with mutual attention network",2024-04-03T02:48:22Z,"Yuanyuan Zhang, Yingdong Wang, Chaoyong Wu, Lingmin Zhana, Aoyi Wang, Caiping Cheng, Jinzhong Zhao, Wuxia Zhang, Jianxin Chen, Peng Li",http://arxiv.org/abs/2404.03516v1,http://arxiv.org/pdf/2404.03516v1,No journal ref found,No comment found,"Identification of drug-target interactions is an indispensable part of drug
discovery. While conventional shallow machine learning and recent deep learning
methods based on chemogenomic properties of drugs and target proteins have
pushed this prediction performance improvement to a new level, these methods
are still difficult to adapt to novel structures. Alternatively, large-scale
biological and pharmacological data provide new ways to accelerate drug-target
interaction prediction. Here, we propose DrugMAN, a deep learning model for
predicting drug-target interaction by integrating multiplex heterogeneous
functional networks with a mutual attention network (MAN). DrugMAN uses a graph
attention network-based integration algorithm to learn network-specific
low-dimensional features for drugs and target proteins by integrating four drug
networks and seven gene/protein networks, respectively. DrugMAN then captures
interaction information between drug and target representations by a mutual
attention network to improve drug-target prediction. DrugMAN achieves the best
prediction performance under four different scenarios, especially in real-world
scenarios. DrugMAN spotlights heterogeneous information to mine drug-target
interactions and can be a powerful tool for drug discovery and drug
repurposing."
2205.11285v1,"High performing additively manufactured bone scaffolds based on copper
  substituted diopside",2022-05-23T13:10:34Z,"Shumin Pang, Dongwei Wu, Franz Kamutzki, Jens Kurreck, Aleksander Gurlo, Dorian A. H. Hanaor",http://arxiv.org/abs/2205.11285v1,http://arxiv.org/pdf/2205.11285v1,"Materials & Design Materials & Design (2022) Volume 215, 110480",No comment found,"The inclusion of small amounts of copper is often reported to enhance the
mechanical and biointegrative performance of bioceramics towards tissue
engineering applications. In this work, 3D scaffolds were additively
manufactured by robocasting of precipitation derived copper doped diopside.
Compositions were chosen in which magnesium sites in diopside were substituted
by copper up to 3 at.%. Microstructure, mechanical performance, bioactivity,
biodegradability, drug release, biocompatibility, in vitro angiogenesis and
antibacterial activity were studied. Results indicate that copper is
incorporated in the diopside structure and improves materials fracture
toughness. Scaffolds with more than 80% porosity exhibited compressive
strengths exceeding that of cancellous bone. All compositions showed
bioactivity and drug release functionalities. However, only samples with 0 to 1
at.% copper substitution showed favorable proliferation of osteogenic sarcoma
cells, human umbilical vein endothelial cells and fibroblasts, while larger
amounts of copper had cytotoxic behavior. In vitro angiogenesis was
significantly enhanced by low levels of copper. Copper containing materials
showed anti Escherichia coli activity, increasing with copper content. We show
that across multiple indicators, copper substituted diopside of the composition
CaMg0.99Cu0.01Si2O6, exhibits high performance as a synthetic bone substitute,
comparing favorably with known bioceramics. These findings present a pathway
for the enhancement of bioactivity and mechanical performance in printable
bioceramics."
2210.00802v3,DDoS: A Graph Neural Network based Drug Synergy Prediction Algorithm,2022-10-03T10:16:29Z,"Kyriakos Schwarz, Alicia Pliego-Mendieta, Amina Mollaysa, Lara Planas-Paz, Chantal Pauli, Ahmed Allam, Michael Krauthammer",http://arxiv.org/abs/2210.00802v3,http://arxiv.org/pdf/2210.00802v3,No journal ref found,No comment found,"Drug synergy arises when the combined impact of two drugs exceeds the sum of
their individual effects. While single-drug effects on cell lines are
well-documented, the scarcity of data on drug synergy, considering the vast
array of potential drug combinations, prompts a growing interest in
computational approaches for predicting synergies in untested drug pairs. We
introduce a Graph Neural Network (\textit{GNN}) based model for drug synergy
prediction, which utilizes drug chemical structures and cell line gene
expression data. We extract data from the largest available drug combination
database (DrugComb) and generate multiple synergy scores (commonly used in the
literature) to create seven datasets that serve as a reliable benchmark with
high confidence. In contrast to conventional models relying on pre-computed
chemical features, our GNN-based approach learns task-specific drug
representations directly from the graph structure of the drugs, providing
superior performance in predicting drug synergies. Our work suggests that
learning task-specific drug representations and leveraging a diverse dataset is
a promising approach to advancing our understanding of drug-drug interaction
and synergy."
